"Laboratory","Facility","Country","City","Sample Population","Sample Sub-Population","Reference Sample Type","Sample Set","Reference Method","Repeats","Blinding","Test Type","Test Format","Use Case","Test Name","Manufacturer","Catalog Number","Lot Number","Index Sample Type","Target","Antigen Used for Detection","RNA Extraction Kit","Estimated LoD","LoD Unit","Higher Cut-off","Lower Cut-off","Ct Value","Days of Sickness","Total Positive","Total Negative","True Positive","True Negative","Sensitivity","Specificity","Link to Publication","DOI","Comments"
"Viroscience Erasmus MC","Hospital","Netherlands","Rotterdam","Confirmed COVID-19 patients","Mild; Moderate; Severe","Serum","Prospectively collected set","RT-PCR","No replicates","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","Cellex qSARS-CoV-2 IgGIgM Cassette Rapid Test","Cellex Inc.","Not available","20200311WI5513C-3","Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","93","44","69","41","74.2","93.2","Not available","Not available","Each sample was tested by one test and interpreted by two operators in parallel from Erasmus MC."
"Viroscience Erasmus MC","Hospital","Netherlands","Rotterdam","Confirmed COVID-19 patients","Mild; Moderate; Severe","Serum","Prospectively collected set","RT-PCR","No replicates","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","COVID-19 IgG/IgM Rapid Test Cassette (Whole Blood/Serum/Plasma)","Orient Gene / Healgen","Not available","2003260","Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","90","9","72","9","80","100","Not available","Not available","Each sample was tested by one test and interpreted by two operators in parallel from Erasmus MC."
"Microbiology Department, Basingstoke & North Hampshire Hospital","Hospital","Great Britain","Not available","Not available","Not available","Nasopharyngeal swabs; Oropharyngeal swabs","Not available","RT-PCR","Not available","Not available","Molecular","Manual PCR","Not available","genesig Real-Time PCR COVID-19","Novacyt/primerdesign","Not available","Not available","Nasopharyngeal swabs; Oropharyngeal swabs","Not available","Not available","PerkinElmer chemagic Prepito-D (NA Body Fluid kit; plasma protocol)","Not available","Not available","Not available","Not available","28.3","Overall","4","53","4","53","100","100","Not available","Not available","Target: RdRP gene target"
"Microbiology Department, Basingstoke & North Hampshire Hospital","Hospital","Great Britain","Not available","Not available","Not available","Nasopharyngeal swabs; Oropharyngeal swabs","Not available","RT-PCR","Not available","Not available","Molecular","Manual PCR","Not available","VIASURE 2019-nCoV","CerTest Biotec, S.L.","Not available","Not available","Nasopharyngeal swabs; Oropharyngeal swabs","Not available","Not available","PerkinElmer chemagic Prepito-D (NA Body Fluid kit; plasma protocol)","Not available","Not available","Not available","Not available","28.6","Overall","0","29","Not available","29","Not available","100","Not available","Not available","VIASURE 2019-nCoV ? S gene target."
"NIS Laboratories, National Infection Service, Public Health England","Public Health","Great Britain","Not available","Not available","Not available","Respiratory specimen","Not available","RT-PCR","Not available","Not available","Molecular","Manual PCR","Not available","RealStarü¾¼ SARS-CoV-2 RT-PCR Kit","altona Diagnostics","Not available","Not available","Respiratory specimen","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","0","195","Not available","195","Not available","100","Not available","Not available","Target: B- coronavirus RNA"
"NIS Laboratories, National Infection Service, Public Health England","Public Health","Great Britain","Not available","Not available","Not available","Respiratory specimen","Not available","RT-PCR","Not available","Not available","Molecular","Integrated system","Not available","SARS-CoV-2, Influenza and RSV 8-well","AusDiagnostics","#20619","Not available","Respiratory specimen","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","0","195","Not available","195","Not available","100","Not available","Not available","Target: SARS-CoV-2 Orf1ab"
"NIS Laboratories, National Infection Service, Public Health England","Public Health","Great Britain","Not available","Not available","Not available","Nasopharyngeal swabs; Oropharyngeal swabs; Respiratory specimen","Not available","RT-PCR","Not available","Not available","Molecular","Integrated system","Not available","EasyScreenTM Pan-Coronavirus/SARS-CoV-2 Detection Kit","Genetic Signatures Limited","RP010-HT","Not available","Respiratory specimen","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","0","195","Not available","195","Not available","100","Not available","Not available","Target: E-gene"
"National Infection Service, Public Health England","Public Health","Great Britain","Not available","Not available","Not available","Respiratory specimen","Not available","RT-PCR","Not available","Not available","Molecular","Integrated system","Not available","Extended Coronavirus Array (lab-based or near-POC)","Randox Laboratories Ltd","EV4418","Not available","Respiratory specimen","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","0","195","Not available","195","Not available","100","Not available","Not available","Not available"
"Department of Virology, Manchester Medical Microbiology Partnership, Manchester Royal Infirmary","Public Health","Great Britain","Manchester","Not available","Not available","Nasopharyngeal swabs; Oropharyngeal swabs; Sputum","Not available","RT-PCR","Not available","Not available","Molecular","Integrated system","Not available","Coronavirus LightMix® Modular SARS and Wuhan CoV E-gene assay","Roche Ltd","09155368001","Not available","Nasopharyngeal swabs; Oropharyngeal swabs; Sputum","Not available","Not available","Magna Pure 96 using the Pathogen Universal protocol 200 v4.0","Not available","Not available","Not available","Not available","Not available","Overall","15","150","15","150","100","100","Not available","Not available","Not available"
"National Infection Service, Public Health England","Public Health","Great Britain","Not available","Not available","Not available","Respiratory specimen","Not available","RT-PCR","Not available","Not available","Molecular","Manual PCR","Not available","The Novel Coronavirus (2019-nCoV) Nucleic Acid Test Kit","GeneFirst Ltd","Not available","Not available","Respiratory specimen","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","0","195","Not available","195","Not available","100","Not available","Not available","Target: orf1ab"
"NIS Laboratories, National Infection Service, Public Health England","Public Health","Great Britain","Not available","Not available","Not available","Respiratory specimen","Not available","RT-PCR","Not available","Not available","Molecular","Integrated system","Not available","genesig Real-Time PCR COVID-19","Novacyt/primerdesign","Z-Path-COVID-19-CE","Not available","Respiratory specimen","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","0","195","Not available","195","Not available","100","Not available","Not available","Target: RdRp of SARS-CoV-2"
"NIS Laboratories, National Infection Service, Public Health England","Public Health","Great Britain","Not available","Not available","Not available","Respiratory specimen","Not available","RT-PCR","Duplicates","Not available","Molecular","Manual PCR","Not available","Allplex 2019-nCoV assay","Seegene, Inc.","#RP10244Y","Not available","Respiratory specimen","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","0","195","Not available","195","Not available","100","Not available","Not available","Target: SARS-CoV-2 RdRP and N genes"
"RIVM","Public Health","Netherlands","Bilthoven","Confirmed COVID-19 patients","Mild; Moderate; Severe","Nasopharyngeal swabs; Oropharyngeal swabs","Retrospective set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","2019-nCoV IgG/IgM Rapid Test","Dynamiker Biotechnology (Tianjin) Co., Ltd.","Not available","Not available","Serum","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","8","13","2","12","25","92.3","Not available","Not available","Not available"
"RIVM","Public Health","Netherlands","Bilthoven","Confirmed COVID-19 patients","Mild; Moderate; Severe","Nasopharyngeal swabs; Oropharyngeal swabs","Retrospective set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","2019-nCoV IgG/IgM Rapid Test","Dynamiker Biotechnology (Tianjin) Co., Ltd.","Not available","Not available","Serum","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Intermediate (~8-14)","6","13","6","12","100","92.3","Not available","Not available","Not available"
"RIVM","Public Health","Netherlands","Bilthoven","Confirmed COVID-19 patients","Mild; Moderate; Severe","Nasopharyngeal swabs; Oropharyngeal swabs","Retrospective set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","2019-nCoV IgG/IgM Rapid Test","Dynamiker Biotechnology (Tianjin) Co., Ltd.","Not available","Not available","Serum","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","11","13","6","12","Not available","92.3","Not available","Not available","Not available"
"RIVM","Public Health","Netherlands","Bilthoven","Confirmed COVID-19 patients","Mild; Moderate; Severe","Nasopharyngeal swabs; Oropharyngeal swabs","Retrospective set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","2019-nCoV IgG/IgM Rapid Test","Dynamiker Biotechnology (Tianjin) Co., Ltd.","Not available","Not available","Serum","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","25","13","14","12","56","92.3","Not available","Not available","Not available"
"Ospedale Policlinico Consorziale of Bari","Public Health","Italy","Bari","Symptomatic patients","Asymptomatic; Moderate","Oropharyngeal swabs","Prospectively collected set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","SARS-CoV-2 rapid IgG-IgM Viva-DiagTM Test combined antibody test kit","Jiangsu Medomics Medical Technologies","Not available","Not available","Whole blood","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","70","120","21","107","30","89.2","https://www.medrxiv.org/content/10.1101/2020.04.03.20052183v1","10.1101/2020.04.03.20052183","Not available"
"Spanish National Center for Microbiology. Instituto de Salud Carlos III","Public Health","Spain","Madrid","Not available","Moderate","Nasopharyngeal swabs","Prospectively collected set","RT-PCR","Duplicates","Blinded to reference results","Antigen","Rapid diagnostic test (RDT)","Not available","Bioeasy 2019-Novel Coronavirus (2019-nCoV) Ag GICA Rapid Test","Shenzhen Bioeasy Biotechnology Co., Ltd","REF: YRLG22202025","2003N206","Nasopharyngeal swabs","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","37","11","9","11","24.3","100","Not available","Not available","Not available"
"Wuhan Jinyintan Hospital","Hospital","China","Wuhan","Confirmed COVID-19 patients","Not available","Not available","Not available","WHO Interim Guidance","Duplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Not available","Novel Coronavirus IgG/IgM antibody ELISA kit","Zhuhai Livzon Diagnostics Inc","Not available","2020010108","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","63","35","28","35","44.4","100","https://www.medrxiv.org/content/10.1101/2020.02.27.20028787v1.full.pdf+html","10.1101/2020.02.27.20028787","Not available"
"Wuhan Jinyintan Hospital","Hospital","China","Wuhan","Confirmed COVID-19 patients","Not available","Not available","Not available","WHO Interim Guidance","Duplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Not available","Novel Coronavirus IgG/IgM antibody ELISA kit","Zhuhai Livzon Diagnostics Inc","Not available","2020010108","Serum","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","63","35","52","35","82.5","100","https://www.medrxiv.org/content/10.1101/2020.02.27.20028787v1.full.pdf+html","10.1101/2020.02.27.20028787","Not available"
"Wuhan Jinyintan Hospital","Hospital","China","Wuhan","Confirmed COVID-19 patients","Not available","Not available","Not available","WHO Interim Guidance","Duplicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Not available","Novel Coronavirus IgG/IgM antibody ELISA kit","Zhuhai Livzon Diagnostics Inc","Not available","2020010108","Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","63","35","55","35","87.3","100","https://www.medrxiv.org/content/10.1101/2020.02.27.20028787v1.full.pdf+html","10.1101/2020.02.27.20028787","Not available"
"Wuhan Jinyintan Hospital","Hospital","China","Wuhan","Confirmed COVID-19 patients","Not available","Not available","Not available","WHO Interim Guidance","Not available","Not available","Molecular","Manual PCR","Not available","Liferiver Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCRT kit","Shanghai ZJ Bio-Tech Co., Ltd/Liferiver","Not available","Not available","Nasopharyngeal swabs; Oropharyngeal swabs; Sputum","Fresh RNA extracted","Not available","Qiamp® viral RNA mini kit","Not available","Not available","Not available","Not available","Not available","Overall","81","Not available","42","Not available","51.9","Not available","https://www.medrxiv.org/content/10.1101/2020.02.27.20028787v1.full.pdf+html","10.1101/2020.02.27.20028787","Not available"
"Molecular Virology Unit, Microbiology and Virology Department, Fondazione IRCCS Policlinico San Matteo","Not available","Italy","Pavia","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Prospectively collected set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of past infection","VivaDiag COVID-19 IgM/IgG Rapid Test","VivaChek Biotech (Hangzhou) Co., Ltd","Not available","Not available","Serum; Whole blood","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","30","30","24","30","80","100","https://onlinelibrary.wiley.com/doi/10.1002/jmv.25800","10.1002/jmv.25800","Serum samples were obtained at a median 7 days (interquartile range, 4?11) after the first COVID?19 positive result."
"Renmin Hospital of Wuhan University","Hospital","China","Wuhan","Confirmed COVID-19 patients","Moderate; Severe; Critical","Not available","Retrospective set","Clinical examination; Computed Tomography (CT); RT-PCR","Not available","Not available","Molecular","Manual PCR","Not available","SARS-CoV-2 ORF1ab/N qPCR detection kit","Shanghai GeneoDx Biotechnology Co., Ltd","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","133","0","91","Not available","68.4","Not available","https://www.medrxiv.org/content/10.1101/2020.03.28.20045765v1","10.1101/2020.03.28.20045765","Not available"
"Southwest Hospital","Hospital","China","Chongqing","Symptomatic patients","Not available","Nasopharyngeal swabs","Prospectively collected set","RT-PCR","Not available","Blinded to reference results","Antigen","Rapid diagnostic test (RDT) with reader","Not available","Bioeasy 2019-nCoV Ag Fluorescence Rapid Test Kit (Time-Resolved Fluorescence)","Shenzhen Bioeasy Biotechnology Co., Ltd","Not available","Not available","Nasopharyngeal swabs","Nucleocapsid protein","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","208","31","141","31","67.8","100","https://www.medrxiv.org/content/10.1101/2020.03.07.20032524v2.full.pdf","10.1101/2020.03.07.20032524","Not available"
"First Affiliated Hospital of Guangzhou Medical University","Hospital","China","Guangzhou","Symptomatic patients","Not available","Nasopharyngeal swabs; Serum","Prospectively collected set","Clinical examination; Computed Tomography (CT); RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection","SARS?CoV?2 rapid IgG?IgM combined antibody test kit","Jiangsu Medomics Medical Technologies","Not available","Not available","Plasma; Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","397","128","352","116","88.7","90.6","https://onlinelibrary.wiley.com/doi/abs/10.1002/jmv.25727","10.1002/jmv.25727","Note, manufacturer is among authors."
"Zhongnan Hospital of Wuhan University","Hospital","China","Wuhan","Confirmed COVID-19 patients","Not available","Respiratory specimen","Not available","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","Novel Coronavirus (2019- nCoV) IgM/IgG Antibody Test Kit","Zhuhai Livzon Diagnostics Inc","Not available","Not available","Plasma; Serum; Whole blood","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","86","22","59","14","68.6","63.6","https://www.medrxiv.org/content/10.1101/2020.03.13.20035428v1","10.1101/2020.03.13.20035428","Not available"
"Zhongnan Hospital of Wuhan University","Hospital","China","Wuhan","Confirmed COVID-19 patients","Not available","Respiratory specimen","Not available","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","Novel Coronavirus (2019- nCoV) IgM/IgG Antibody Test Kit","Zhuhai Livzon Diagnostics Inc","Not available","Not available","Plasma; Serum; Whole blood","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","27","9","1","4","3.7","44.4","https://www.medrxiv.org/content/10.1101/2020.03.13.20035428v1","10.1101/2020.03.13.20035428","Not available"
"Zhongnan Hospital of Wuhan University","Hospital","China","Wuhan","Confirmed COVID-19 patients","Not available","Respiratory specimen","Not available","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","Novel Coronavirus (2019- nCoV) IgM/IgG Antibody Test Kit","Zhuhai Livzon Diagnostics Inc","Not available","Not available","Plasma; Serum; Whole blood","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Intermediate (~8-14)","28","6","16","4","57.1","66.7","https://www.medrxiv.org/content/10.1101/2020.03.13.20035428v1","10.1101/2020.03.13.20035428","Not available"
"Zhongnan Hospital of Wuhan University","Hospital","China","Wuhan","Confirmed COVID-19 patients","Not available","Respiratory specimen","Not available","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","Novel Coronavirus (2019- nCoV) IgM/IgG Antibody Test Kit","Zhuhai Livzon Diagnostics Inc","Not available","Not available","Plasma; Serum; Whole blood","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","31","7","30","5","96.8","71.4","https://www.medrxiv.org/content/10.1101/2020.03.13.20035428v1","10.1101/2020.03.13.20035428","Not available"
"Zhongnan Hospital of Wuhan University","Hospital","China","Wuhan","Confirmed COVID-19 patients","Not available","Respiratory specimen","Not available","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","Novel Coronavirus (2019- nCoV) IgM/IgG Antibody Test Kit","Zhuhai Livzon Diagnostics Inc","Not available","Not available","Plasma; Serum; Whole blood","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","86","22","47","13","54.7","59.1","https://www.medrxiv.org/content/10.1101/2020.03.13.20035428v1","10.1101/2020.03.13.20035428","Not available"
"Zhongnan Hospital of Wuhan University","Hospital","China","Wuhan","Confirmed COVID-19 patients","Not available","Respiratory specimen","Not available","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","Novel Coronavirus (2019- nCoV) IgM/IgG Antibody Test Kit","Zhuhai Livzon Diagnostics Inc","Not available","Not available","Plasma; Serum; Whole blood","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","27","9","3","2","11.1","22.2","https://www.medrxiv.org/content/10.1101/2020.03.13.20035428v1","10.1101/2020.03.13.20035428","Not available"
"Zhongnan Hospital of Wuhan University","Hospital","China","Wuhan","Confirmed COVID-19 patients","Not available","Respiratory specimen","Not available","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","Novel Coronavirus (2019- nCoV) IgM/IgG Antibody Test Kit","Zhuhai Livzon Diagnostics Inc","Not available","Not available","Plasma; Serum; Whole blood","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Intermediate (~8-14)","28","6","22","2","78.6","33.3","https://www.medrxiv.org/content/10.1101/2020.03.13.20035428v1","10.1101/2020.03.13.20035428","Not available"
"Zhongnan Hospital of Wuhan University","Hospital","China","Wuhan","Confirmed COVID-19 patients","Not available","Respiratory specimen","Not available","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","Novel Coronavirus (2019- nCoV) IgM/IgG Antibody Test Kit","Zhuhai Livzon Diagnostics Inc","Not available","Not available","Plasma; Serum; Whole blood","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","31","7","23","4","74.2","57.1","https://www.medrxiv.org/content/10.1101/2020.03.13.20035428v1","10.1101/2020.03.13.20035428","Not available"
"Zhongnan Hospital of Wuhan University","Hospital","China","Wuhan","Confirmed COVID-19 patients","Not available","Respiratory specimen","Not available","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","Novel Coronavirus (2019- nCoV) IgM/IgG Antibody Test Kit","Zhuhai Livzon Diagnostics Inc","Not available","Not available","Plasma; Serum; Whole blood","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","86","22","48","8","55.8","36.4","https://www.medrxiv.org/content/10.1101/2020.03.13.20035428v1","10.1101/2020.03.13.20035428","Not available"
"Department of Virus & Microbiological Special Diagnostics, Statens Serum Institut","Public Health","Denmark","Copenhagen","Confirmed COVID-19 patients","Not available","Respiratory specimen","Retrospective set","RT-PCR","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Not available","Wantai SARS-CoV-2 Ab ELISA","Beijing Wantai Biological Pharmacy Enterprise Co., Ltd","WS-1096","Not available","Plasma; Serum","Total Ig","Not available","Not available","Not available","Not available","As per manufacturer's instructions","As per manufacturer's instructions","Not available","Overall","30","82","28","82","93.3","100","https://www.medrxiv.org/content/10.1101/2020.04.09.20056325v1.full.pdf","10.1101/2020.04.09.20056325","Not available"
"Department of Virus & Microbiological Special Diagnostics, Statens Serum Institut","Public Health","Denmark","Copenhagen","Confirmed COVID-19 patients","Not available","Respiratory specimen","Retrospective set","RT-PCR","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Not available","Anti-SARS-CoV-2 ELISA (IgG) (manual, automated)","EUROIMMUN AG","EI 2668-9601","Not available","Plasma; Serum","IgG","Not available","Not available","Not available","Ratio between the extinction of the sample and calibrator on each plate","> =1.1","<0.8","Not available","Overall","30","82","20","79","66.7","96.3","https://www.medrxiv.org/content/10.1101/2020.04.09.20056325v1.full.pdf","10.1101/2020.04.09.20056325","Borderline data were considered negative."
"Department of Virus & Microbiological Special Diagnostics, Statens Serum Institut","Public Health","Denmark","Copenhagen","Confirmed COVID-19 patients","Not available","Respiratory specimen","Retrospective set","RT-PCR","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Not available","Anti-SARS-CoV-2 ELISA (IgA) (manual, automated)","EUROIMMUN AG","EI 2606-9601","Not available","Plasma; Serum","IgA","Not available","Not available","Not available","Ratio between the extinction of the sample and calibrator on each plate","> =1.1","<0.8","Not available","Overall","30","82","28","76","93.3","92.7","https://www.medrxiv.org/content/10.1101/2020.04.09.20056325v1.full.pdf","10.1101/2020.04.09.20056325","Borderline data were considered negative."
"Department of Virus & Microbiological Special Diagnostics, Statens Serum Institut","Public Health","Denmark","Copenhagen","Confirmed COVID-19 patients","Not available","Respiratory specimen","Retrospective set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Not available","2019-nCoV IgG/IgM Rapid Test","Dynamiker Biotechnology (Tianjin) Co., Ltd.","DNK-1419-1","Not available","Plasma; Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","30","32","27","32","90","100","https://www.medrxiv.org/content/10.1101/2020.04.09.20056325v1.full.pdf","10.1101/2020.04.09.20056325","Weak signals for IgM and IgG, together or separate, was considered positive."
"Department of Virus & Microbiological Special Diagnostics, Statens Serum Institut","Public Health","Denmark","Copenhagen","Confirmed COVID-19 patients","Not available","Respiratory specimen","Retrospective set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Not available","OnSite COVID-19 IgG/IgM Rapid Test","CTK Biotech, Inc.","R0180C","Not available","Plasma; Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","30","32","27","32","90","100","https://www.medrxiv.org/content/10.1101/2020.04.09.20056325v1.full.pdf","10.1101/2020.04.09.20056325","Weak signals for IgM and IgG, together or separate, was considered positive."
"Department of Virus & Microbiological Special Diagnostics, Statens Serum Institut","Public Health","Denmark","Copenhagen","Confirmed COVID-19 patients","Not available","Respiratory specimen","Retrospective set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Not available","Anti-SARS-CoV-2 Rapid Test","AutoBio Diagnostics","RTA0204","Not available","Plasma; Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","30","32","28","32","93.3","100","https://www.medrxiv.org/content/10.1101/2020.04.09.20056325v1.full.pdf","10.1101/2020.04.09.20056325","Weak signals for IgM and IgG, together or separate, was considered positive."
"Department of Virus & Microbiological Special Diagnostics, Statens Serum Institut","Public Health","Denmark","Copenhagen","Confirmed COVID-19 patients","Not available","Respiratory specimen","Retrospective set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Not available","Coronavirus Diseases 2019 (COVID-19) IgM/IgG Antibody Test","Artron Laboratories Inc.","A03-51-322","Not available","Plasma; Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","30","17","25","17","83.3","100","https://www.medrxiv.org/content/10.1101/2020.04.09.20056325v1.full.pdf","10.1101/2020.04.09.20056325","Weak signals for IgM and IgG, together or separate, was considered positive."
"Service de Bactériologie-hygiène, Hôpital Bicêtre, Inserm U 1184 ; LabEx LERMIT","Hospital","France","Kremlin-Bictre","Symptomatic patients","Mild; Moderate; Severe","Serum","Retrospective set","RT-PCR","No replicates","Not blinded to reference results","Antibody","Rapid diagnostic test (RDT)","Detection of past infection","NG-Test IgM-IgG COVID All-in-One lateral flow immunoassay","NG Biotech","Not available","Not available","Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","256","50","Not available","Not available","97","100","Not available","Not available","Please be aware that the sensitivy provided is at 15 days of symptomes."
"RIVM","Public Health","Netherlands","Bilthoven","Confirmed COVID-19 patients","Mild; Moderate; Severe","Nasopharyngeal swabs; Oropharyngeal swabs","Retrospective set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","2019-nCoV IgG/IgM Rapid Test","Dynamiker Biotechnology (Tianjin) Co., Ltd.","Not available","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","8","13","3","12","Not available","92.3","Not available","Not available","Not available"
"RIVM","Public Health","Netherlands","Bilthoven","Confirmed COVID-19 patients","Mild; Moderate; Severe","Nasopharyngeal swabs; Oropharyngeal swabs","Retrospective set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","2019-nCoV IgG/IgM Rapid Test","Dynamiker Biotechnology (Tianjin) Co., Ltd.","Not available","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Intermediate (~8-14)","6","13","6","12","100","92.3","Not available","Not available","Not available"
"RIVM","Public Health","Netherlands","Bilthoven","Confirmed COVID-19 patients","Mild; Moderate; Severe","Nasopharyngeal swabs; Oropharyngeal swabs","Retrospective set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","2019-nCoV IgG/IgM Rapid Test","Dynamiker Biotechnology (Tianjin) Co., Ltd.","Not available","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","11","13","6","12","Not available","92.3","Not available","Not available","Not available"
"RIVM","Public Health","Netherlands","Bilthoven","Confirmed COVID-19 patients","Mild; Moderate; Severe","Nasopharyngeal swabs; Oropharyngeal swabs","Retrospective set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","2019-nCoV IgG/IgM Rapid Test","Dynamiker Biotechnology (Tianjin) Co., Ltd.","Not available","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","25","13","15","12","60","92.3","Not available","Not available","Not available"
"RIVM","Public Health","Netherlands","Bilthoven","Confirmed COVID-19 patients","Mild; Moderate; Severe","Nasopharyngeal swabs; Oropharyngeal swabs","Retrospective set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","Covid-19 IgG/IgM Antibody Test","Biomerica Inc","Not available","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","7","25","3","25","42.9","100","Not available","Not available","Not available"
